product_id,producer_id
1417177,667
1417178,667
1417179,667
1417180,667
1417182,667
1417183,667
1417185,667
1417186,667
1417187,667
1417188,667
1417189,667
1417213,667
1417521,1617
1419852,292
1419864,292
1422497,324
1422509,324
1422553,584
1429362,921
1429368,921
1429925,1273
1429926,1273
1429927,1273
1429929,1273
1429933,1273
1429935,1273
1429936,1273
1433975,1315
1434022,547
1438900,482
1439675,497
1439678,497
1445100,405
1445135,437
1445136,437
1445141,437
1446306,537
1449600,667
1449601,667
1449602,667
1449603,667
1449604,667
1449605,667
1449606,667
1449607,667
1449609,667
1452071,507
1452072,507
1452073,507
1452074,507
1452075,507
1452076,507
1452079,507
1452443,335
1452445,335
1453526,497
1453531,497
1453971,324
1454284,482
1454288,482
1457280,1617
1458366,482
1458367,482
1461478,497
1462595,482
1463570,921
1469379,594
1469380,594
1469917,667
1469918,667
1470257,162
1470258,162
1470260,162
1470349,401
1472465,537
1473020,921
1475486,667
1480925,224
1483032,437
1483147,405
1483148,405
1483149,405
1483150,405
1483152,405
1483153,405
1483155,405
1483156,405
1483157,405
1483159,405
1483160,405
1483162,405
1484225,603
1487174,356
1487187,356
1487362,292
1487538,1500
1487541,1500
1487551,1500
1488970,482
1488976,482
1490145,595
1490241,244
1490243,244
1490244,244
1490245,244
1494734,292
1494810,1507
1494833,1507
1494834,1507
1494835,1507
1494836,1507
1494853,1507
1495302,1420
1495596,1507
1495974,1507
1496027,1507
1496109,441
1498008,921
1498156,223
1498212,497
1498213,497
1498262,1342
1498263,1342
1498265,1342
1500534,1507
1501213,537
1501239,356
1501249,356
1501499,1273
1501500,1273
1501692,537
1502092,147
1502093,147
1503079,324
1506191,1266
1506247,667
1506384,587
1506396,247
1506408,247
1507285,328
1507310,328
1507312,328
1507313,328
1507315,328
1507316,328
1507326,328
1507327,328
1507349,328
1507364,328
1507376,328
1507420,1500
1509490,1266
1509682,1360
1509853,537
1510165,537
1510412,206
1510617,537
1510918,497
1510931,497
1510944,497
1510974,497
1510975,497
1511114,497
1511116,497
1511117,497
1511118,497
1511122,497
1511136,497
1511137,497
1511139,497
1511560,401
1511821,496
1511826,496
1511848,496
1511854,496
1511857,496
1511859,496
1512076,324
